,id,room_type,neighbourhood,price,review_scores_rating,review_scores_cleanliness,review_scores_communication
7826,842023367779058143,Entire home/apt,,42.0,4.88,4.62,4.94
7827,842059509623540600,Entire home/apt,,80.0,4.5,3.5,5.0
7828,842107035572742050,Entire home/apt,,36.0,4.0,4.3,4.52
7829,842507160888298538,Entire home/apt,,121.0,5.0,5.0,5.0
7830,842542365951673569,Entire home/apt,,68.0,4.99,4.96,4.99
7831,842554556139985266,Entire home/apt,"Athina, Greece",64.0,3.83,3.46,4.13
7832,842763774737827531,Private room,"Athina, Greece",24.0,4.59,4.54,4.84
7833,843108740982944551,Private room,"Athina, Greece",23.0,4.33,4.16,4.82
7834,843158440422897650,Private room,"Athina, Greece",23.0,4.64,4.49,4.91
7835,843189043558206015,Entire home/apt,"Athina, Greece",134.0,4.66,4.76,4.86
7836,843193652794930454,Entire home/apt,"Athina, Greece",38.0,4.46,4.69,4.92
7837,843269307478968257,Entire home/apt,,39.0,4.56,4.64,4.6
7838,843283048808246802,Entire home/apt,"Athina, Greece",417.0,4.95,4.96,4.96
7839,843294312306340880,Entire home/apt,,81.0,4.83,4.74,5.0
7840,843297993556758791,Private room,"Athina, Greece",19.0,4.5,4.33,4.33
7841,843342984306117652,Entire home/apt,"Athina, Greece",82.0,4.89,4.67,4.56
7842,843358295951793896,Entire home/apt,"Athina, Greece",104.0,4.92,4.92,4.92
7843,843602997056975323,Entire home/apt,"Athina, Greece",89.0,1.0,3.0,1.0
7844,844102690190208299,Entire home/apt,,38.0,4.25,4.19,4.75
7845,844122151781985591,Entire home/apt,"Athina, Greece",615.0,4.85,4.85,4.95
7846,844240435807763985,Entire home/apt,,85.0,4.75,5.0,5.0
7847,844737745760557571,Entire home/apt,,65.0,4.86,4.71,5.0
7848,844784135607209974,Entire home/apt,"Athina, Attica, Greece",59.0,4.91,4.91,4.95
7849,844867971082915663,Private room,,83.0,5.0,5.0,5.0
7850,845071449449790503,Entire home/apt,"Athina, Greece",40.0,4.86,4.87,4.96
7851,845102545128589503,Entire home/apt,,48.0,4.63,4.75,4.88
7852,845441153636894101,Entire home/apt,,158.0,4.31,4.0,4.69
7853,845474680189178633,Entire home/apt,,37.0,4.78,4.8,4.9
7854,845563170162807653,Entire home/apt,"Athina, Greece",58.0,4.81,4.84,4.98
7855,845647990960733085,Entire home/apt,"Athens, Greece",323.0,5.0,4.88,5.0
7856,845661984263062710,Entire home/apt,"Athina, Greece",110.0,4.93,4.95,4.97
7857,846057020740263705,Entire home/apt,"Athina, Greece",79.0,,,
7858,846073850501775995,Entire home/apt,"Athina, Greece",60.0,4.56,4.67,4.89
7859,846087602637566694,Entire home/apt,"Athina, Greece",76.0,5.0,4.88,5.0
7860,846157514538486245,Entire home/apt,"Athina, Greece",563.0,5.0,5.0,5.0
7861,846164212106227868,Entire home/apt,"Athina, Greece",69.0,4.88,4.88,4.88
7862,846264597532042412,Entire home/apt,"Athina, Greece",166.0,4.94,4.98,4.96
7863,846270768697744721,Entire home/apt,"Athina, Greece",44.0,4.78,4.83,4.89
7864,846399625614532854,Entire home/apt,"Athina, Greece",63.0,4.82,4.82,4.94
7865,846438625352814747,Entire home/apt,,65.0,4.0,4.5,4.0
7866,846498720978087131,Entire home/apt,"Athina, Greece",85.0,4.91,5.0,5.0
7867,846810652691399316,Entire home/apt,,56.0,3.0,3.0,3.17
7868,846819853026459969,Entire home/apt,"Athina, Greece",42.0,4.66,4.49,4.78
7869,846863609262310487,Entire home/apt,,70.0,5.0,5.0,5.0
7870,846910529111132434,Entire home/apt,,88.0,4.6,4.4,5.0
7871,846939701888655877,Entire home/apt,,541.0,4.93,4.99,4.96
7872,846970590466882848,Entire home/apt,"Athina, Greece",304.0,4.95,4.91,4.82
7873,846978710429745092,Entire home/apt,"Athina, Greece",75.0,4.75,4.75,5.0
7874,846982253783738196,Private room,,213.0,,,
7875,847014729897042058,Entire home/apt,,74.0,5.0,4.98,4.98
7876,847062650591564862,Entire home/apt,,53.0,4.89,4.78,5.0
7877,847156496500549150,Entire home/apt,"Athina, Greece",80.0,,,
7878,847160582027063341,Entire home/apt,,123.0,5.0,5.0,5.0
7879,847614734230658952,Entire home/apt,"Athina, Greece",100.0,5.0,5.0,5.0
7880,847616165447179251,Entire home/apt,"Athina, Greece",94.0,5.0,5.0,5.0
7881,847617171327441804,Entire home/apt,"Athina, Greece",103.0,5.0,5.0,5.0
7882,847618382534043485,Entire home/apt,"Athina, Greece",73.0,3.5,5.0,4.5
7883,847619421211975609,Entire home/apt,"Athina, Greece",100.0,5.0,5.0,5.0
7884,847622266899406845,Entire home/apt,"Athina, Greece",90.0,4.73,4.8,5.0
7885,847678339549217199,Entire home/apt,,85.0,5.0,5.0,5.0
7886,847683322324540280,Entire home/apt,"Athina, Greece",81.0,4.67,4.81,4.86
7887,847732234376924688,Entire home/apt,,41.0,4.46,4.69,4.31
7888,847782669764302993,Entire home/apt,"Athina, Greece",93.0,4.93,4.93,4.93
7889,847792646148157866,Entire home/apt,"Athina, Greece",105.0,5.0,4.98,5.0
7890,847820759278595845,Entire home/apt,"Athina, Greece",99.0,4.95,4.97,4.97
7891,847902392824322863,Entire home/apt,,53.0,4.7,4.77,4.89
7892,848223048980924634,Entire home/apt,"Athina, Greece",36.0,4.89,4.78,4.78
7893,848280312658923210,Entire home/apt,,68.0,4.7,4.63,4.98
7894,848333819590777037,Entire home/apt,,222.0,,,
7895,848358271400686352,Entire home/apt,,120.0,,,
7896,848443176630168475,Private room,"Athina, Greece",251.0,5.0,5.0,5.0
7897,848443352588150563,Private room,,255.0,4.0,4.0,4.0
7898,848443847708490233,Private room,"Athina, Greece",238.0,4.67,4.78,4.67
7899,848456164382083007,Entire home/apt,"Athina, Greece",100.0,4.29,3.57,4.86
7900,848474745989926230,Private room,,,,,
7901,848488965996436986,Entire home/apt,,135.0,,,
7902,848520881689442332,Entire home/apt,"Athina, Greece",77.0,4.88,4.94,4.88
7903,848525408828273455,Entire home/apt,"Athina, Greece",103.0,,,
7904,848533800462801800,Private room,,,,,
7905,848541936668797198,Private room,,,,,
7906,848600050126899890,Entire home/apt,"Μενεμένη, Greece",50.0,5.0,5.0,5.0
7907,848641667307931614,Entire home/apt,"Athina, Greece",95.0,4.9,4.81,4.76
7908,849040845882557411,Entire home/apt,"Athina, Greece",84.0,4.0,4.67,4.0
7909,849121173394800063,Entire home/apt,,92.0,,,
7910,849125263234173515,Entire home/apt,"Athina, Greece",110.0,4.89,5.0,5.0
7911,849179878687653457,Private room,,,,,
7912,849180799154665249,Entire home/apt,,386.0,4.94,4.97,4.97
7913,849187078775253838,Private room,,,,,
7914,849297721932440302,Entire home/apt,,50.0,4.93,4.98,4.93
7915,849701075189688146,Entire home/apt,"Athina, Greece",50.0,5.0,4.96,5.0
7916,849731560750180337,Entire home/apt,,71.0,5.0,5.0,5.0
7917,849745969274675539,Entire home/apt,"Athina, Greece",65.0,4.91,4.91,4.91
7918,849787095057012450,Entire home/apt,"Athina, Greece",42.0,4.68,4.81,4.97
7919,849994943365014436,Entire home/apt,"Athina, Greece",150.0,4.96,5.0,5.0
7920,849995162893794550,Entire home/apt,,70.0,4.67,4.0,5.0
7921,850480650704793680,Entire home/apt,"Athina, Greece",126.0,4.86,4.8,4.84
7922,850539640078466906,Entire home/apt,,70.0,4.98,5.0,4.94
7923,851087174122752629,Entire home/apt,,180.0,4.33,4.67,5.0
7924,851154746893176490,Entire home/apt,"Athina, Greece",,3.67,3.67,3.67
